"Date","SBR","SBE","BSB","ExC","ExP","ImC","ImP","Man","Bld","UnE","UnC","CPI","PFB","PAT","PCF","PHE","PHH","PH","PT","PC","PRC","PE","DPU","TEx","TIm","ToT","M0","M1","M2","M3","ERE","ERA","USE","USA","Ref","Lom"
"2000-02-01",9326.8,12953.6,-3626.8,1306.1,10.6,1910.8,7.90000000000001,3.5,29.1,49.7000000000003,117.7,0.300000000000011,1.2,-0.0999999999999943,-0.5,0.100000000000009,-0.200000000000003,-0.5,1.09999999999999,-0.5,-0.5,-0.100000000000009,6199,101.4,107.4,94.4,-3528.9,-292.199999999997,3579.30000000002,3587.59999999998,4.15,4.14,4.05,4.09,17.5,21.5
"2000-03-01",10708.8,12884.9,-2176.1,580.9,-13.4,1532.7,-15.8,1.2,18.2,5.89999999999964,116.6,-0.100000000000009,0.299999999999997,-0.200000000000003,-0.200000000000003,-1.90000000000001,-0.199999999999989,-0.100000000000009,0.799999999999997,2.30000000000001,-0.200000000000003,-0.299999999999997,5977,96.4,102.4,94.1,3949.4,-460.300000000003,5166.19999999995,5160,4.14,4.09,3.97,3.95,17.5,21.5
"2000-04-01",10004.5,11860.1,-1855.6,-757.099999999999,4,-1438.2,0.100000000000009,-0.3,8.3,-43.7999999999997,117.2,-0.5,0.0999999999999943,-0.0999999999999943,-0.200000000000003,0.700000000000003,-0.200000000000003,-0.5,-4.09999999999999,-7.40000000000001,-0.200000000000003,-0.200000000000003,5360,97.6,103.5,94.3,4134.1,933.900000000009,3371.60000000003,3370.70000000001,4.42,4.23,4.02,4,17.5,21.5
"2000-05-01",10807.5,12072,-1264.4,437.5,-5.3,2725.5,12.1,-2.1,-2.4,-42.5,118,0.200000000000003,0.299999999999997,0,-0.199999999999989,0.799999999999997,-0.100000000000009,0,0.200000000000003,-2.7,-0.400000000000006,-0.299999999999997,5955,104.3,108.1,96.5,-1660.3,1927.09999999999,3721.09999999998,3727.60000000003,4.39,4.5,4.09,4.08,17.5,21.5
"2000-06-01",12482.5,13085.2,-602.800000000001,562.199999999999,5,-1213,-10.2,-0.5,-3.9,-8,117.5,0.200000000000003,0.300000000000011,-0.700000000000003,0,0.799999999999997,0,-0.699999999999989,2.2,-1.3,-0.199999999999989,0,4991,108.9,111.1,98,4180.8,6068.3,15002.6,15000.5,4.39,4.4,4.21,4.17,17.5,21.5
"2000-07-01",10575.4,11215.5,-640.099999999999,79.5,4.59999999999999,-172.199999999997,-1.09999999999999,2.3,-2.9,40.1999999999998,117.1,1.39999999999999,3.89999999999999,-0.5,0,0.400000000000006,-0.0999999999999943,-0.100000000000009,-1.5,10.2,-0.900000000000006,0.0999999999999943,6463,109,110,99.1,1787.60000000001,-4402.09999999999,-7435.70000000001,-7371.20000000001,4.34,4.32,4.01,4.07,17.5,21.5
"2000-08-01",11352.1,13063.9,-1711.9,-356.5,-4.09999999999999,-1093.6,-1.7,2,-4.2,18.5999999999999,116.5,-0.899999999999991,-1.3,-0.5,-0.5,0.200000000000003,-0.0999999999999943,-0.200000000000003,-6.90000000000001,0,0.0999999999999943,0,7147,104,106.5,97.7,-3070.4,520.399999999994,657.200000000012,655.299999999988,4.38,4.36,3.92,3.95,19,23
"2000-09-01",11709,12748.8,-1039.7,1173.9,0.699999999999989,1359.3,-5.7,-5.8,-7.3,32.6000000000004,116.1,-0.400000000000006,-0.799999999999997,-1.3,-0.900000000000006,0.199999999999989,-0.200000000000003,-0.0999999999999943,0,-0.100000000000009,0.300000000000011,-4.5,6882,99.4,104.9,94.8,559.299999999996,-1591.39999999999,3937.19999999995,3969.09999999998,4.54,4.49,4,3.92,19,23
"2000-10-01",12550.2,14028.9,-1478.7,1237.3,7.09999999999999,2527.5,7.90000000000001,-5,-8.2,18.8999999999996,116.5,-0.399999999999991,-1.3,-0.300000000000011,-0.299999999999997,0.100000000000009,-0.100000000000009,-0.200000000000003,0.299999999999997,0,-0.200000000000003,-0.299999999999997,8442,96.7,104.7,92.4,-667.399999999994,-116.5,6596,6594.70000000001,4.68,4.64,3.93,3.97,19,23
"2000-11-01",12527.7,11904.5,623.300000000001,-486.6,-3,-1448.7,-7.8,-3.8,-14.9,65.4000000000001,115.8,-0.600000000000009,-1.2,-0.199999999999989,0,-0.100000000000009,-0.199999999999989,-0.200000000000003,-2,0,-0.299999999999997,-0.299999999999997,9086,96,100.5,95.5,-4405.10000000001,478.199999999997,3301.90000000002,3318.10000000003,4.47,4.56,3.88,3.9,19,23
"2000-12-01",12705.3,13198.9,-493.700000000001,-1113.3,-8.89999999999999,-553.900000000001,1,0.0999999999999996,-11.1,89.5,115,-0.799999999999997,-0.700000000000003,-0.100000000000009,-0.200000000000003,-0.299999999999997,-0.100000000000009,-0.399999999999991,-5.7,-0.0999999999999943,-0.600000000000009,-0.0999999999999943,15491,98.6,99.5,99.1,2732.60000000001,2245.09999999999,1674.09999999998,1704.39999999997,4.14,4.31,3.85,3.88,19,23
"2001-01-01",-124073,-134371.5,10298.6,134.199999999999,7.5,-2039,9.3,6.6,-1.9,133,114.5,-1.09999999999999,-0.599999999999994,-1.59999999999999,-0.700000000000003,-0.5,-0.200000000000003,-2.8,-2.39999999999999,-7.7,0.299999999999997,0,9496,101.7,100.9,100.8,910,-5085.59999999999,-1447.59999999998,-1517.59999999998,4.09,4.11,3.8,3.86,19,23
"2001-02-01",9371.1,16258,-6887,-54.8999999999996,-13.9,-694.4,-15.1,-0.5,15.3,41.3000000000002,113.9,-0.800000000000011,-1.40000000000001,-0.299999999999997,-0.5,-0.399999999999991,-0.0999999999999943,-0.300000000000011,-1.40000000000001,-2.7,-0.199999999999989,0,7815,99.6,98.5,101.1,-8138.2,1096.2,4622.40000000002,4643.79999999999,4.07,4.09,3.75,3.77,19,23
"2001-03-01",10661.1,13674.2,-3013.1,1164.7,3.39999999999999,2548.4,6.39999999999999,-1.7,12.9,21.7999999999997,114.5,-0.399999999999991,-0.299999999999997,0,-0.5,0.799999999999997,-0.0999999999999943,-0.399999999999991,-3.59999999999999,-2,0,-0.100000000000009,8444,100.6,98.1,102.5,6723.3,705.600000000006,5466.89999999997,5582.20000000001,4.1,4.06,3.62,3.7,17,21
"2001-04-01",10887.3,14176.7,-3289.4,-1651.9,-5.8,-1716.6,-0.5,0.3,8.2,-20.6999999999998,115.7,0.399999999999991,0.799999999999997,0.0999999999999943,-0.399999999999991,-0.400000000000006,-0.100000000000009,-0.200000000000003,0.700000000000003,5.80000000000001,-0.200000000000003,0,8095,99.4,97.2,102.3,1419.9,-468.100000000006,1253.20000000001,1143,3.98,4.02,3.54,3.59,17,21
"2001-05-01",10132.7,12234.9,-2102.2,54.8000000000011,6.59999999999999,152.5,-7.89999999999999,-4.3,3.6,-36.9000000000001,116.2,0.300000000000011,0.799999999999997,0,-0.100000000000009,-0.899999999999991,-0.200000000000003,1.40000000000001,-1.10000000000001,8.19999999999999,-0.299999999999997,0,7064,90.4,91.1,99.2,-2169.5,1572.5,2417.59999999998,2425.89999999997,4.01,3.98,3.4,3.49,17,21
"2001-06-01",15086.6,13508,1578.6,-326.9,-7.3,-657.100000000002,5.59999999999999,-3.1,-5.6,8.09999999999991,116.9,-0.700000000000003,-0.599999999999994,-0.0999999999999943,-0.200000000000003,-0.800000000000011,-0.199999999999989,0.699999999999989,-3.8,0.100000000000009,-0.5,0,6702,89.1,88.2,101,1018.6,776.100000000006,1988.30000000005,1990.90000000002,3.99,3.97,3.38,3.39,15.5,19.5
"2001-07-01",11234,11744.1,-510,238.799999999999,-2.09999999999999,1213.1,3.5,0.799999999999999,-0.6,22.3000000000002,115.9,-1,-3.10000000000001,-0.100000000000009,-0.199999999999989,0.900000000000006,-0.100000000000009,0,-0.700000000000003,-4.90000000000001,-0.300000000000011,-0.399999999999991,8848,92.1,92.6,99.5,489.900000000001,3266.29999999999,6076.39999999997,6078.20000000001,4.24,4.19,3.71,3.6,15.5,19.5
"2001-08-01",11367.2,12983.2,-1616.1,858.5,4.5,-505.600000000002,2.09999999999999,1.5,-3.2,21.0999999999999,115.9,-0.100000000000009,-0.399999999999991,0.600000000000009,-0.400000000000006,-0.400000000000006,-0.200000000000003,-0.399999999999991,1.8,0,-0.699999999999989,0,7962,98.1,94,104.4,3122.7,140.800000000003,3834.79999999999,3838.29999999999,4.23,4.25,3.88,3.82,14.5,18.5
"2001-09-01",12444.6,13378,-933.400000000001,1553.5,0.299999999999997,923.299999999999,-6,-5.7,-6.2,27.8000000000002,115.5,-0.799999999999997,-0.799999999999997,0.599999999999994,-0.5,-0.399999999999991,-0.299999999999997,-0.600000000000009,-1.19999999999999,-3.7,-1.30000000000001,-1.10000000000001,7437,99.6,97,102.7,-3874.9,3515.60000000001,2231.40000000002,2211.5,4.24,4.22,3.88,3.85,14.5,18.5
"2001-10-01",12744.5,15619,-2874.5,772.1,1.09999999999999,2183.3,3.90000000000001,-1.5,-6.5,23.9000000000001,115.6,-0.299999999999997,-0.100000000000009,-0.0999999999999943,-0.0999999999999943,-0.600000000000009,-0.0999999999999943,-0.199999999999989,-1.5,0.100000000000009,0,-1,9068,94.6,92,102.8,480.400000000001,-145.199999999997,4052,4041.20000000001,4.1,4.13,3.71,3.74,13,17
"2001-11-01",12299.4,15210.5,-2911.1,-2048.5,-11.7,-2208.9,-1.90000000000001,-4.3,-15.3,78.0999999999999,115.7,-0.400000000000006,-0.599999999999994,0,-0.100000000000009,-0.299999999999997,-0.200000000000003,-0.200000000000003,-0.5,0,-0.199999999999989,-0.399999999999991,10309,94.1,89.7,104.9,5612.5,-2442.3,-8559.79999999999,-8536.60000000003,4.09,4.09,3.62,3.64,11.5,15.5
